,id,label,text
0,autos-102898,autos,"Subject: Re: MGBs and the real world
From: derek@nezsdc.icl.co.nz (Derek Tearne)
Organization: Fujitsu New Zealand - Software Development Center
Lines: 20

In article <1993Apr8.095119.5367@hasler.ascom.ch> kevinh@hasler.ascom.ch writes:
>
>Oh yeah, I had a 1975 1275GT Mini, and even before I did anything
>to it, it could leave an MGB standing anywhere except, perhaps, on a long straight
>motorway run at 90+. 
>
>People who bought MGB`s bought them because they were an open topped sportscar
>and embodied what people thought they should for an old fashioned traditional
>brit. sportscar - not because they were great at anything.

Pretty much like the people who buy the Mazda MX-5 (Miata) today.  Small 
fun and you can fool yourself (and a lot of other people) that you have the 
performance of many far superior (and much more expensive) performnace cars.


-- 
Derek Tearne.   --   derek@nezsdc.icl.co.nz   --    Fujitsu New Zealand   -- 
Some of the more aware dinosaurs were worried about the environmental
consequences of an accident with the new Iridium enriched fusion reactor.  
""If it goes off only the cockroaches and mammals will survive..."" they said.
"
1,autos-103184,autos,"From: c23st@kocrsv01.delcoelect.com (Spiros Triantafyllopoulos)
Subject: Re: Ad said Nissan Altima best seller?
Organization: Delco Electronics Corp.
Lines: 23

In article <1r0vk6INNaft@cronkite.Central.Sun.COM> dbernard@clesun.Central.Sun.COM writes:
>>I too was puzzled by this obvious untruth. What I think is going on is that
>>Nissan claims that the Altima is ""the best selling new car namelplate in
>>the US"" (I think I have this near verbatim). Lee Iaccoca's statistics
>>dept. would have been proud of that sentence.
>
>Note that the Corolla/Prism are also new designs... but hey are not new 
>""nameplates.""  I guess Nissan doesn't even sell as many Altimas as
>Toyota does Corollas, or there would be no ""nameplate"" qualifier.

But waiiiiiit, isn't Nissan officially registering the car as far as
government paperwork goes, Nissan Stanza Altima, to avoid costly and
lengthy paperwork? I read this on the net a while ago, and someone
actually may have said there's a little Stanza logo on the Altima
somewhere.

You *can* have it both ways :-)

Spiros
-- 
Spiros Triantafyllopoulos                    c23st@kocrsv01.delcoelect.com
Software Technology, Delco Electronics       (317) 451-0815
GM Hughes Electronics, Kokomo, IN 46904      ""I post, therefore I ARMM""
"
2,autos-103657,autos,"From: raman@translab.its.uci.edu (Balaji V. Ramanathan)
Subject: Re: Plymouth Sundance/Dodge Shadow experiences?
Nntp-Posting-Host: translab.its.uci.edu
Organization: University of California, Irvine
Lines: 23
Distribution: usa

In article <1qofeaINNn7h@shelley.u.washington.edu> gaia@carson.u.washington.edu (I/We are Gaia) writes:
>just stopped putting money into it.  I must have put at least $5000-$7000
>worth of repairs over it's lifetime.  I am sorry but Lee Iacocca can bite
>me.  Bullshit, whoever backs em best, is just afraid the stupid things area
	The part about spending $5000-7000 on repairs reminds me
of an article I read in a magazine comparing the 5 year ownership costs
of a Toyota Camry and a Ford Taurus or something like that.  The result,
which they announced with great flourish was that it cost the same at the
end of the period.  That was their argument to prove that you don't go
wrong buying the Ford Taurus over the Camry.

	Now, if I remember correctly, the Camry costs about $4000 or so more
in initial costs.  Essentially, it means that you spend about $4000 extra
on repairs on the Taurus.  That is ridiculous.  Every time your car
needs repairs, it is extra hassles, loss of time and a dozen other things.
I would much rather spend $5000 more in initial costs than spend $4000 more
in repair costs.

--
----------------->8      Cut here for Signature!       8<---------------------
Balaji Ramanathan,                   | 
Institute of Transportation Studies, |         I don't believe in luck!
University of California, Irvine.    |              I RELY on it!!
"
3,autos-102993,autos,"From: bell@plains.NoDak.edu (Robert Bell)
Subject: Re: Info/Opinions Wanted on Cars In this Article
Distribution: na
Nntp-Posting-Host: plains.nodak.edu
Organization: North Dakota Higher Education Computing Network
Lines: 45

In article <1993Apr13.182100.26650@magnus.acs.ohio-state.edu> jnielsen@magnus.acs.ohio-state.edu (John F Nielsen) writes:
>In article <49071@fibercom.COM> rrg@rtp.fibercom.com (Rhonda Gaines) writes:
>>
>>I'm in the market for a new car.  Currently I own a '90 Mazda MX-6 DX
>>which has served me just fine.  However, I'd like to get
>>a 4-door car since I don't relish the thought of moving a carseat
>>around in a 2-door car.  My criteria are: 4-door, a/c, am/fm cassette,
>>quick acceleration, cruise control, decent rear seat legroom (my
>>husband is a 6-footer).  It must also be under $20k
>>preferably closer to the 11-15k range (which will probably rule out
>>the Accord).  The '93 cars that have caught my eye are: Toyota Corolla, 
>>Toyata Camry, Mazda 626, Pontiac Grand Am, Pontiac Grand Prix, 
>>Honda Accord, (and Civic if it's roomy enough and still comes in a 
>>4-door model), Hyundai Sonata, and maybe even a small Oldsmobile, 
>>although not the Achieva.  All opinions, benchmarks,
>>recommendations, etc. are welcome.
>
>I really wouldn't consider the Grand Am/Achevia/Skylark (all the same)
>since they are very bad in frontal collsions and don't have any
>other really outstanding qualities.
>
>john
>-- 

I really must object to that last statement.  Having a lot of experience
with a '92 Grand Am coupe, I can firmly state that they do have a lot of
outstanding qualities.  Very reliable throughout.  Great layout of controls
and components.  Very roomy considering the exterior size of the car.  They 
look sharp inside and out.  The V6 that I drive has exceptional power and 
drivability compared to other similar cars that I have driven.

All in all, it's a fun-to-drive, dependable, and reasonably priced vehicle.
Please don't knock it with a statement like that unless you back it up with
specific reasons why you feel that way.

Rob
bell@plains.nodak.edu


>John Nielsen   MAGNUS Consultant            ______   ______   __  __	
>""To you Baldrick, the Renaissance was just /\  __ \ /\  ___\ /\ \/\ \
>something that happened to other people,   \ \ \/\ \\ \___  \\ \ \_\ \
>wasn't it?"" - The Black Adder               \ \_____\\/\_____\\ \_____\


"
4,autos-102948,autos,"From: jfox@hooksett.East.Sun.COM (John Fox - SunExpress IR)
Subject: Re: It's a rush... (was Re: Too fast)
Organization: Sun Microsystems, Inc.
Lines: 50
Distribution: world
Reply-To: jfox@hooksett.East.Sun.COM
NNTP-Posting-Host: hooksett.east.sun.com

In article 5276@unisql.UUCP, wrat@unisql.UUCP (wharfie) writes:
>In article <C5r43y.F0D@mentor.cc.purdue.edu> marshatt@feserve.cc.purdue.edu (Zauberer) writes:
>>I guess I wasn't clear enough here. I said the roads WERE designed for 
>>speeds of 80 or so and still be safe. The current 55-65 will add a saftey
>>margin.
>
>	They were designed for speeds of upwards of 80 - I forget the
>exact spec - but for military vehicles.  That's 80 in a 1958 Dodge 
>Powerwagon.  Not 80 in a 1993 Ford Taurus.
>
>
>
>


Ah yes, the 58 Powerwagon. Now there was a vehicle that today's cars can't
touch in terms of high speed road holding ability! :-)

































"
5,autos-102917,autos,"From: qazi@csd4.csd.uwm.edu (Aamir Hafeez Qazi)
Subject: Re: How is Cizeta V16T doing?
Organization: University of Wisconsin - Milwaukee
Lines: 20
Reply-To: qazi@csd4.csd.uwm.edu
NNTP-Posting-Host: 129.89.7.4
Originator: qazi@csd4.csd.uwm.edu

> cs173sbw@sdcc5.ucsd.edu (cs173sbw) writes:
> 
>>Does anyone know what happpened to the venerable V16T!?  Has Claudio
>>done any enhancement to it?  Are there any pictures of this beast I
>>can ftp down somewhere?
>>THanks
>>p.s.  Better, seen any RC model of this beauty? :)

--AutoWeek had an article about the car within the past six weeks.
  It was the issue with the Diablo VT AWD on the cover.  Naturally, I
  don't remember the date of the issue offhand, but I can check it if
  anyone is interested.  

--Aamir Qazi

-- 

Aamir Qazi
qazi@csd4.csd.uwm.edu
--Why should I care?  I'd rather watch drying paint.
"
6,autos-102861,autos,"From: jimf@centerline.com (Jim Frost)
Subject: Re: Too fast
Article-I.D.: armory.1qkon8$3re
Organization: CenterLine Software, Inc.
Lines: 56
NNTP-Posting-Host: 140.239.3.202

wrat@unisql.UUCP (wharfie) writes:
>>Compare either to the Porsche 911 and you tell me which was designed

>	Oh, right.  Only 120,000 dollar cars should be driven fast.
>They drive goddamn Rabbits at 120 MPH in Europe, pal, and I reckon
>a Taurus is at least as capable as a Rabbit.

My whole point was not to say that the cars *couldn't* go that fast,
but that they *shouldn't* go that fast.  A family sedan designed to be
operable at 85mph doesn't suddenly become operable at 130mph because
you added some plastic aero effects, slightly wider tires, and a much
larger engine.  That's what the SHO is -- a slightly modified family
sedan with a powerful engine.  They didn't even bother improving the
*brakes.*

The Mustang is essentially the same deal as the SHO -- a big power
plant stuck in a mid-size sedan, with almost no other modifications.
I have real-life experience with the Mustang -- it handles like a
brick (except when you're invoking oversteer, of course, something I
personally avoid doing on the highway) and stopping power is
inadequate even from 80mph.  Lots of accelleration -- but the rest of
the car is not up to par.

I picked the Porsche example because they are designed with speed in
mind.  It didn't have to be the 911 -- it could have been the much
cheaper 944 or one of several Mercedes or Audi models.  All of these
cars are fairly expensive -- but so are the parts that make them
drivable at high speed.  This should be elementary.

There are a few things to keep in mind about Europe, since you brought
it up.  My Autobahn knowledge is admittedly second-hand, but I believe
the following to be true:

1. Drivers are much better disciplined in Europe than they are here.
2. The roads comprising the Autobahn are much better designed than
   they are here, and usually include animal fences.  This makes them
   far more predictable than most US highways.
3. Not all of Europe is the Autobahn.  Most places in Europe have
   speed limits that aren't out-of-line with what we used to have in
   the US -- if my friends weren't lying to me they're typically not
   much higher than 120km/h.

I strongly suspect you won't find a lot of Rabbit owners doing 120mph
(nearly 200km/h) on the Autobahn, but I could be wrong.  Some people
have no respect for their own lives.

>>You certainly haven't convinced me.

>	Of course not.  ""Speeding-is-bad.  Speeding-is-illegal. 
>I-will-not-speed.  I-love-Big-Brother.""  You had your mind made up
>already.

If you think so you sure don't pay attention to my postings.

jim frost
jimf@centerline.com
"
7,autos-103378,autos,"From: rhorwell@crab.network-a (Roland Faragher-Horwell,crab)
Subject: Re: Dumbest automotive concepts of all tim
Reply-To: rhorwell@atc.boeing.com
Organization: Boeing Computer Services
Lines: 19

In article 1EL@targhee.idaho.amdahl.com, rbs@sawtooth.idaho.amdahl.com (Bob Smith) writes:
>In article <1993Apr7.173712.23250@cas.org>, sdm24@cas.org () writes:
>> IMHO, the dumbest thing we *ever* did in copying the Japanese was moving the
>> dimmer switch from the floor to the lever controlling the turn signal/cruise
>> control/bun warmer, etc.
>
>Well, my 1973 Porsche had the dimmer on the turn signal stalk.  Guess those
>dumb Germans were copying the Japanese too. :-)
>
>[rest deleted]
>> -- 
 
Not to mention my friend's '54 Citroen Traction Avant with the light switch and 
dimmer integrated in a single stalk off the steering column!   Those dumb French
were apparently copying the Japanese before the Germans!  :^)

Roland


"
8,autos-102885,autos,"From: gwalker@rtfm.mlb.fl.us (Grayson Walker)
Subject: Re: Changing oil by self.
Organization: A.S.I. n
Distribution: usa
Lines: 10

Why crawl under the car at all? I have a machine I got for my boat that 
pulls the oil out under suction through the dip stick tube. It does an
excellent job and by moving the suction tube around, you can get more 
old oil out than by using the drain plug. I think I paid $25 at E&B Marine.
The oil goes into a steel 3 gal can - wait until it cools and decant into
your favorite device. I use soft drink bottles. Easy to take them down to
the local oil recycle center.

FORZA!

"
9,autos-103532,autos,"From: hkon@mit.edu (Henry Kon)
Subject: sunroof leaks - I'm all wet
Organization: MIT
Lines: 8
NNTP-Posting-Host: msiegel.mit.edu

My sunroof leaks.  I've always thought those things were a royal pain.

Can anyone provide any insight ?

I know the seal isn't great.  Maybe I could weld the stupid thing shut.

hk

"
